epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,588.789,4.3024,2.89282,0.94369,0.01947,0.53846,0.04099,0.00836,3.80439,2.31988,0.75875,0.0009044,0.0009044,0.0009044
168,592.388,4.27964,2.80647,0.95303,0.02056,0.51648,0.04466,0.00988,3.6842,2.38727,0.74045,0.0008978,0.0008978,0.0008978
169,595.98,4.36982,2.90858,0.96399,0.02515,0.51648,0.06266,0.01514,3.61977,2.23723,0.71157,0.0008912,0.0008912,0.0008912
170,599.582,4.32436,2.92327,0.93496,0.02748,0.52747,0.06036,0.01485,3.53215,2.37015,0.72683,0.0008846,0.0008846,0.0008846
171,603.344,4.30018,2.9226,0.93462,0.02373,0.49451,0.0614,0.0138,3.77375,2.26786,0.73103,0.000878,0.000878,0.000878
172,607.318,4.24443,2.84579,0.93374,0.0188,0.43956,0.04547,0.00949,4.06321,2.23133,0.80196,0.0008714,0.0008714,0.0008714
173,611.159,4.22074,2.94114,0.94725,0.01489,0.43956,0.03839,0.00984,4.01741,2.2507,0.81023,0.0008648,0.0008648,0.0008648
174,614.853,4.3422,2.94095,0.93483,0.01541,0.45055,0.02773,0.00668,3.88196,2.46242,0.75535,0.0008582,0.0008582,0.0008582
175,618.531,4.25957,2.88772,0.94635,0.02094,0.46154,0.04397,0.00898,4.02611,2.51854,0.77979,0.0008516,0.0008516,0.0008516
176,622.109,4.26856,2.85409,0.93596,0.02311,0.48352,0.05306,0.0092,3.99201,2.37672,0.74288,0.000845,0.000845,0.000845
177,625.626,4.2658,2.90916,0.92152,0.02704,0.54945,0.05273,0.00896,3.94225,2.33733,0.69315,0.0008384,0.0008384,0.0008384
178,629.357,4.24009,2.84893,0.91798,0.02475,0.51648,0.07523,0.01219,3.99832,2.16644,0.73394,0.0008318,0.0008318,0.0008318
179,633.058,4.30524,2.8687,0.95601,0.02086,0.49451,0.03746,0.00794,3.99555,2.31848,0.7876,0.0008252,0.0008252,0.0008252
180,636.659,4.18415,2.7844,0.88913,0.01796,0.49451,0.04689,0.0084,4.04897,2.23302,0.73707,0.0008186,0.0008186,0.0008186
181,640.185,4.26789,2.8722,0.92576,0.01755,0.50549,0.04115,0.01149,3.74368,2.25673,0.73923,0.000812,0.000812,0.000812
182,643.827,4.38439,2.85193,0.93761,0.01487,0.46154,0.05233,0.01044,4.01603,2.1997,0.76446,0.0008054,0.0008054,0.0008054
183,647.456,4.24927,2.89008,0.93041,0.01177,0.50549,0.05381,0.0126,3.85474,2.17773,0.76949,0.0007988,0.0007988,0.0007988
184,651.065,4.19179,2.78619,0.89666,0.01644,0.49451,0.04835,0.00777,4.053,2.25591,0.73448,0.0007922,0.0007922,0.0007922
185,654.629,4.22654,2.85219,0.92786,0.01998,0.53846,0.0534,0.00894,4.04296,2.15153,0.75324,0.0007856,0.0007856,0.0007856
186,658.244,4.22259,2.86582,0.90685,0.02503,0.51648,0.0628,0.00955,4.16357,2.17114,0.75424,0.000779,0.000779,0.000779
187,661.826,4.19394,2.90093,0.95046,0.02083,0.48352,0.05332,0.00845,4.08469,2.23481,0.77357,0.0007724,0.0007724,0.0007724
188,665.538,4.28048,2.80574,0.95992,0.01229,0.38462,0.02653,0.00389,4.24386,2.23947,0.8197,0.0007658,0.0007658,0.0007658
189,669.139,4.18479,2.77033,0.91266,0.01368,0.43956,0.02832,0.00482,4.06162,2.2279,0.78682,0.0007592,0.0007592,0.0007592
190,672.725,4.18623,2.85747,0.93699,0.01478,0.40659,0.05632,0.01082,4.11227,2.19866,0.74484,0.0007526,0.0007526,0.0007526
191,676.393,4.14499,2.80909,0.91021,0.05814,0.0989,0.055,0.00899,3.99637,2.03707,0.74949,0.000746,0.000746,0.000746
192,680.064,4.24704,2.98636,0.94597,0.01667,0.43956,0.031,0.00604,3.81211,2.23179,0.72479,0.0007394,0.0007394,0.0007394
